ID,SMILES,IC50,pIC50
CHEMBL226733,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1ccc(cc1)C(=O)N,92,7.036
CHEMBL237570,COc1ccc2c(c1)ccc(c2)c1c(nc(n1C)c1ccc(cc1C)S(=O)C)c1ccncc1,296,6.529
CHEMBL331703,CCS(=O)(=O)c1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,9290,5.032
CHEMBL6204,COc1ccc(cc1)c1c(nc2n1CCC2)c1ccccn1,5100,5.292
CHEMBL568357,OC(=O)c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,27,7.569
CHEMBL3260626,COc1cc(NCc2[nH]c(c(n2)c2ccc3n(c2)ncn3)c2cccc(n2)C)cc(c1)OC,14,7.854
CHEMBL376119,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1cccc(c1)C(=O)N,15,7.824
CHEMBL382838,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)nc[nH]3)CCC2,47,7.328
CHEMBL377717,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)ccn3C)CCC2,4100,5.387
CHEMBL427211,Cn1ccc2c1ccc(c2)c1c2CCCn2nc1c1ccccn1,12230,4.913
CHEMBL229547,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1cccc(c1)C#N,119,6.924
CHEMBL3261094,O=C(Cn1cc(c(n1)c1cccc(n1)C)c1ccc2n(c1)ncn2)Nc1cccc(c1)C(=O)N,36,7.444
CHEMBL2024687,Cc1nn(c(c1)c1ccc2c(c1)c(=O)n(cn2)C)c1cccc(n1)C,3,8.523
CHEMBL2024692,CCn1cnc2c(c1=O)cc(cc2)c1ccnn1c1cccc(n1)C,69,7.161
CHEMBL260729,NC(=O)c1ccc(cc1)Oc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,1100,5.959
CHEMBL261625,COc1cc(OC)c2c(c1)c(ccn2)c1c2CCCn2nc1c1cccc(n1)C,3810,5.419
CHEMBL2435045,Cc1cccc(n1)c1nc(cn1c1ccc2c(c1)OCO2)CN1C(=O)c2c(C1=O)cccc2,3360,5.474
CHEMBL576062,Nc1sc(c(n1)c1ncccc1C)c1ccc2c(n1)cccn2,6,8.222
CHEMBL566234,C1CCC(CO1)NCc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,47,7.328
CHEMBL122583,CCc1cccc(n1)c1nn2c(c1c1ccnc3c1cccc3)CCC2,71,7.149
CHEMBL120907,COc1ccc(cc1)c1c2CCCn2nc1c1ccccn1,646,6.19
CHEMBL409331,CN1CCN(CC1)CCOc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,100,7
CHEMBL565815,CC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,87,7.06
CHEMBL121790,Fc1ccc(cc1)c1c2CCCn2nc1c1cccc(n1)C,1320,5.879
CHEMBL437118,N#Cc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,35,7.456
CHEMBL332344,Clc1ccc2c(c1)nccc2c1c2CCCn2nc1c1cccc(n1)C,48,7.319
CHEMBL379700,C1CCC(CC1)CCOc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,81,7.092
CHEMBL120718,Cc1cccc(n1)c1nn2c(c1c1ccc(c(c1)F)F)CCC2,343,6.465
CHEMBL1765760,CNc1nc(N)nc(c1)c1ccc2c(c1)[nH]nc2N,398.11,6.4
