ID,pIC50
CHEMBL2087978,7.983
CHEMBL2087979,7.81
CHEMBL2087965,7.947
CHEMBL1766455,7.056
CHEMBL1824444,7.319
CHEMBL2088213,7.821
CHEMBL226734,7.62
CHEMBL2385586,5.479
CHEMBL1808264,8
CHEMBL2385596,7.125
CHEMBL3260905,8.509
CHEMBL3260573,7.854
CHEMBL3260578,7.523
CHEMBL3260584,8.046
CHEMBL3260586,7.796
CHEMBL3260614,8.046
CHEMBL2088220,7.59
CHEMBL2088217,7.321
CHEMBL2088221,7.611
CHEMBL2087983,8.129
CHEMBL182678,5.991
CHEMBL1957653,5.658
CHEMBL1835627,8.401
CHEMBL1835625,8.294
CHEMBL1824440,7.886
CHEMBL2435034,6.62
CHEMBL3634801,7.863
CHEMBL3634710,7.378
CHEMBL3634705,7.917
CHEMBL3261083,7.244
CHEMBL3260565,7.678
CHEMBL3260588,7.638
CHEMBL3260595,7.77
CHEMBL3260600,7.77
CHEMBL3260617,7.237
CHEMBL3260564,7.886
CHEMBL1824436,6.133
CHEMBL2385579,4.963
CHEMBL3260618,7.678
CHEMBL3260900,8.585
CHEMBL3260615,7.921
CHEMBL261762,7.481
CHEMBL411741,6.032
CHEMBL1835630,8.604
CHEMBL1835621,8.4
CHEMBL3260627,8.538
CHEMBL1766454,7.292
CHEMBL4279935,6.742
CHEMBL4277446,6.706
CHEMBL3260582,8.222
CHEMBL3260611,7.108
CHEMBL3260580,7.398
CHEMBL3260610,7.229
CHEMBL1766440,6.684
CHEMBL3261096,7.745
CHEMBL3260571,7.959
CHEMBL3260575,8
CHEMBL3260581,8.046
CHEMBL3260601,7.796
CHEMBL3260608,7.26
CHEMBL3260589,8.155
CHEMBL3260590,7.921
CHEMBL1766450,7.602
CHEMBL3260621,7.77
CHEMBL3260628,7.815
CHEMBL2024690,8.222
CHEMBL406407,4.703
CHEMBL411855,7.328
CHEMBL410308,6.714
CHEMBL1688215,5.8
CHEMBL593710,5.357
CHEMBL1824438,7.086
CHEMBL1824442,7.585
CHEMBL2435036,6.097
CHEMBL2088222,7.6
CHEMBL2087985,7.465
CHEMBL1835711,6.991
CHEMBL1835532,8.53
CHEMBL1835520,8.4
CHEMBL3260572,7.854
CHEMBL3260594,7.886
CHEMBL3260596,7.824
CHEMBL3260605,7.398
CHEMBL2324833,4.462
CHEMBL2087980,7.772
CHEMBL2087966,8.154
CHEMBL3634709,7.14
CHEMBL2087971,8.033
CHEMBL2087986,7.66
CHEMBL2087973,7.801
CHEMBL2087969,7.943
CHEMBL2088224,7.674
CHEMBL2088223,7.921
CHEMBL1829504,7.114
CHEMBL1835529,8.517
CHEMBL1835519,8.625
CHEMBL4292878,6.129
CHEMBL4284609,5.911
CHEMBL2024685,8.398
CHEMBL3260624,7.824
CHEMBL3260568,8.046
CHEMBL3260598,7.77
CHEMBL3260622,7.357
CHEMBL3260569,8.155
CHEMBL3260574,7.921
CHEMBL3260613,7.409
CHEMBL2088216,7.362
CHEMBL3634706,8.035
CHEMBL1835710,7.019
CHEMBL2208002,6.62
CHEMBL497949,6.433
CHEMBL1271631,7.194
CHEMBL3634800,7.967
CHEMBL3261092,7.071
CHEMBL1271853,8.046
CHEMBL2324829,4.294
CHEMBL3260620,8.097
CHEMBL3260906,8.167
CHEMBL3261086,6.975
CHEMBL3260602,7.337
CHEMBL3260901,8.31
CHEMBL3260898,8.252
CHEMBL478629,5
CHEMBL594867,5.959
CHEMBL4217935,8.357
CHEMBL4206793,8.886
CHEMBL1824434,6.845
CHEMBL3260897,8.62
CHEMBL3261085,7.046
CHEMBL3261091,7.108
CHEMBL2435039,5.682
CHEMBL3261087,7.319
CHEMBL3341788,4.004
CHEMBL4284434,6.287
CHEMBL3634708,8.008
CHEMBL3261089,7.444
CHEMBL4211574,8.469
CHEMBL4218893,7.721
CHEMBL3260904,8.886
CHEMBL3261093,7.569
CHEMBL2435040,5.75
CHEMBL2435043,5.614
CHEMBL3341941,6.237
CHEMBL4205979,8.796
CHEMBL3634799,8.115
CHEMBL3260903,8.481
CHEMBL3260566,7.886
CHEMBL3260592,8.046
CHEMBL3260607,7.495
CHEMBL3260616,7.745
CHEMBL3260577,7.699
CHEMBL3260579,7.824
CHEMBL3260591,8.301
CHEMBL3260603,7.319
CHEMBL3260612,7.328
CHEMBL2435041,6.022
CHEMBL4217699,9.26
CHEMBL3707020,6.815
CHEMBL585117,7.495
CHEMBL2435044,6.004
CHEMBL566256,4.71
CHEMBL585505,7.602
CHEMBL585700,7.229
CHEMBL567287,6.959
CHEMBL4216706,8.854
CHEMBL4210246,8.155
CHEMBL2435035,6.187
CHEMBL4287654,7.009
CHEMBL4204772,8.77
CHEMBL4289487,6.79
CHEMBL3341942,5.638
CHEMBL2385582,6.75
CHEMBL3261090,7.658
CHEMBL4278812,6.467
CHEMBL3261095,7.538
CHEMBL3261088,7.569
CHEMBL3823101,5.289
CHEMBL3261084,7.432
CHEMBL4279160,8.523
CHEMBL4289841,7.658
CHEMBL4284266,6.094
CHEMBL4292491,6.833
CHEMBL4287843,6.261
CHEMBL4277338,7.959
CHEMBL4285692,5.712
CHEMBL4292047,8.699
CHEMBL4276896,6.391
CHEMBL4214237,8.678
CHEMBL4209583,9
CHEMBL4210079,7.208
CHEMBL4205457,9.018
CHEMBL3260902,7.75
CHEMBL3260619,8
CHEMBL3823478,5.415
CHEMBL3634704,8.011
CHEMBL3634707,7.959
CHEMBL4209835,8.284
CHEMBL4287412,5.561
CHEMBL4202469,8.167
CHEMBL3341955,3.939
CHEMBL3341790,4.086
CHEMBL3341795,4.585
CHEMBL4288745,6.863
CHEMBL4287261,5.89
CHEMBL4279331,5.284
CHEMBL4291439,6.64
CHEMBL4288634,8.222
CHEMBL4280660,8.699
CHEMBL4285292,8.301
CHEMBL4205456,8.959
CHEMBL4206910,7.602
CHEMBL4214470,8.367
CHEMBL4276907,8.699
CHEMBL4281030,6.738
CHEMBL4281195,5.702
CHEMBL4291307,8.523
CHEMBL4277755,5.599
CHEMBL4277021,7.097
CHEMBL2087981,7.445
CHEMBL2087977,7.511
CHEMBL2087970,7.714
CHEMBL4292170,6.213
CHEMBL4291675,6.812
CHEMBL4283638,4.729
CHEMBL4279172,6.64
CHEMBL4294411,5.697
CHEMBL4206220,8.409
CHEMBL4205311,8.602
CHEMBL4285400,7.013
CHEMBL4283308,6.583
CHEMBL4282287,5.85
