ID,SaaNH,n9FaHRing,naHRing,JGI5,MATS1c,n9FHRing,PEOE_VSA1,NsOH,Xch-6d,AATSC3i
CHEMBL1272180,0.0,0,0,0.023046737,-0.508972725,1,15.53348694,0,0.48847624,-0.047333500999999986
CHEMBL1271910,0.0,0,0,0.020070547,-0.525326608,1,21.05689321,1,0.5905383129999999,-0.10297673
CHEMBL1271576,0.0,0,0,0.025435897,-0.560439169,1,25.75018527,0,0.48847624,0.05921789
CHEMBL229598,3.423411754,0,2,0.018958333,-0.5627624379999999,1,25.50816051,0,0.580527208,0.058986671
CHEMBL129153,3.1478313960000004,0,3,0.019527027,-0.268794011,0,0.0,0,0.442044204,0.157516955
CHEMBL129553,3.035250378,0,2,0.016111111,-0.210547422,0,0.0,0,0.321478169,0.040510395
CHEMBL513147,0.0,1,3,0.020050505,-0.23638142,1,10.21669833,0,0.5964498220000001,0.17255163899999998
CHEMBL2024688,2.6137160880000003,0,3,0.021348039,-0.541168953,0,4.983978521,0,0.426752253,-0.192276039
CHEMBL205570,2.981252568,0,3,0.017043651,-0.17524546600000002,0,0.0,0,0.506873575,-0.053180687
CHEMBL203436,2.91912867,0,3,0.021966967,-0.393928416,0,4.736862953999999,0,0.404811503,-0.08973181300000001
CHEMBL426852,2.79978458,0,3,0.021647287,-0.38633065,0,0.0,0,0.404811503,-0.256875811
CHEMBL202891,2.9426852410000004,0,3,0.02125,-0.247048909,0,4.736862953999999,0,0.404811503,-0.00234766
CHEMBL258641,0.0,0,3,0.018406433,-0.275857371,0,4.736862953999999,0,0.6746858379999999,0.132030286
CHEMBL3634712,3.248542848,1,4,0.020678295,-0.481754917,1,10.30076712,0,0.565235256,0.08800399099999999
CHEMBL484907,0.0,0,1,0.025270062000000003,-0.319870863,0,14.21058886,0,0.191638319,-0.099600321
CHEMBL3634711,3.3515284860000003,1,4,0.018525132,-0.47411027,1,10.30076712,0,0.583963996,0.099391177
CHEMBL1271796,0.0,0,0,0.024766506,-0.5245239420000001,1,25.3333064,0,0.48847624,-0.07360045900000001
CHEMBL1272289,0.0,0,0,0.024439484,-0.541652393,1,20.85027554,0,0.48847624,-0.25968728
